,area,centroid,mean_intensity,perimeter,row,column,circularity
3,10948,"(116.5960906101571, 3791.290189989039)",0.5353868913294216,394.95436482630055,1,22,0.8819639161973927
4,7459,"(111.56307816061134, 120.61496179112481)",0.48256902439216737,326.2497833620557,1,1,0.8806229657841214
5,7620,"(113.39763779527559, 296.51404199475064)",0.500816221501724,330.8772003600252,1,2,0.8746436561830986
6,6935,"(113.98471521268925, 814.5457822638789)",0.5063579173558391,314.24978336205567,1,5,0.8824830153164464
7,6905,"(112.76683562635772, 1863.4595220854453)",0.5097227073305788,314.492424049175,1,11,0.8773101843781768
8,6667,"(112.2008399580021, 2046.155542222889)",0.5163959449086368,309.0782104868019,1,12,0.8770079717134782
9,7206,"(114.44004995836802, 2914.0066611157367)",0.5214837308778631,320.56349186104046,1,17,0.8812030699194778
10,8173,"(117.90260614217546, 3615.2401810840574)",0.5244984081972444,344.8772003600252,1,21,0.8635001040630076
11,6264,"(111.45083014048531, 1694.6366538952745)",0.5058861092329652,296.5929291125633,1,10,0.8948289515303006
12,6593,"(115.34748976186864, 989.4677688457455)",0.5043768940914755,303.90663761154804,1,6,0.8970415686348192
13,6374,"(113.6786946972074, 1517.744116724192)",0.5075995004214424,296.8355697996826,1,9,0.909054750581708
14,5895,"(115.16793893129771, 1341.9518235793046)",0.5056721382361256,286.5929291125633,1,8,0.901909021588281
15,5773,"(114.66949592932617, 1169.2960332582713)",0.5026176623429555,286.5929291125633,1,7,0.8832435592246219
16,6415,"(117.50101325019486, 3438.814964925955)",0.5187284703437104,301.6639969244288,1,20,0.8858487216466853
17,5514,"(114.62894450489662, 2562.8690605730867)",0.5149708051519483,279.1076477383248,1,15,0.8894737843673727
18,5728,"(116.41881983240224, 3262.8456703910615)",0.513268156424581,282.9360748630709,1,19,0.8991584389917747
19,5143,"(115.68014777367296, 2744.122302158273)",0.5130781225575978,267.76450198781714,1,16,0.901405877966151
20,5706,"(118.27917981072555, 3092.342446547494)",0.5175604626708727,284.9360748630709,1,18,0.8831749787988236
21,1997,"(115.3720580871307, 2393.2018027040563)",0.47590012469684917,166.0243866176395,1,14,0.910424969147041
22,1846,"(116.27464788732394, 2221.4138678223185)",0.47753489261360016,161.53910524340097,1,13,0.8889681773353172
23,9437,"(294.95983893186394, 3791.6343117516158)",0.5595027499184477,366.7766952966369,2,22,0.881536609246709
24,7544,"(290.23117709437963, 300.61134676564154)",0.5324782192834715,326.048773235279,2,2,0.8917567446618133
25,7053,"(287.80561463207147, 2044.990784063519)",0.5420855539153133,312.73506473629425,2,12,0.9062136327881224
26,6518,"(288.33323105247007, 819.4352562135624)",0.5319705912435547,301.0782104868019,2,5,0.9035778329321434
27,6546,"(289.8783990223037, 2564.0383440268865)",0.5422709872216531,301.32085117392114,2,15,0.9059985317630933
28,6276,"(289.19662205226257, 1871.0388782664118)",0.5362051512765718,294.8355697996826,2,11,0.9072626769570095
29,5791,"(289.4990502503885, 989.8100500777068)",0.5324577352958105,283.1787155501902,2,6,0.9074907643823061
30,5877,"(289.8570699336396, 1345.9778798706823)",0.5348346995766147,286.24978336205567,2,8,0.9013121413975904
31,5570,"(289.31490125673247, 1517.5619389587073)",0.5336698701024395,277.1787155501902,2,9,0.9110564840573583
32,5596,"(288.67744817726947, 1690.2101501072195)",0.5326591823291146,279.1787155501902,2,10,0.9022418343630431
33,7119,"(293.97696305660907, 3614.731142014328)",0.5440927206674213,316.73506473629425,2,21,0.8917365469842525
34,6065,"(290.5446001648805, 2738.111129431162)",0.5397804826794691,290.0071426749364,2,16,0.9061983778264034
35,5754,"(290.4436913451512, 3088.4409106708376)",0.5423971048273324,282.5929291125633,2,18,0.9054347108515834
36,7373,"(296.92811609928117, 120.39373389393734)",0.4962425170800722,327.56349186104046,2,1,0.8635015346375793
37,5922,"(291.790780141844, 1168.3444782168187)",0.5345663560932647,288.8355697996826,2,7,0.8920247755647865
38,6160,"(293.1491883116883, 3440.696103896104)",0.5431060606060605,292.0071426749364,2,20,0.907828111449331
39,4933,"(288.8516115953781, 2914.006892357592)",0.5390761696935007,263.37972567696687,2,17,0.89362703177671
40,5730,"(294.3024432809773, 3265.1703315881327)",0.5426807651507374,283.1787155501902,2,19,0.8979316318270789
41,1625,"(288.7236923076923, 2394.1396923076923)",0.4858425339366516,150.95331880577402,2,14,0.8961441992063323
42,9886,"(469.786870321667, 3789.80952862634)",0.5703593515091652,372.77669529663683,3,22,0.8939906203465435
43,6289,"(459.75512800127206, 643.8810621720464)",0.5386735008838961,295.90663761154804,3,4,0.9025723907091827
44,6575,"(463.8159695817491, 469.0425855513308)",0.5415003354954149,302.2497833620557,3,3,0.9044272202322777
45,6268,"(461.9081046585833, 2561.8150925335035)",0.5590481374425966,294.5929291125633,3,15,0.907599430344879
46,5682,"(462.34776487152413, 820.2750791974656)",0.5426210047552987,284.5929291125633,3,5,0.8815823410903711
47,7270,"(468.50371389270975, 3616.3414030261347)",0.5560212530679397,318.14927829866735,3,21,0.9025731088738684
48,5577,"(464.23776223776224, 1515.5156894387665)",0.548300266852303,277.5218613006979,3,9,0.9099470247445487
49,6138,"(466.6251221896383, 2736.2658846529816)",0.5587845565075166,292.492424049175,3,16,0.9015867169203846
50,5889,"(465.7580234335201, 2918.1940906775344)",0.5567249008620259,286.492424049175,3,17,0.9016233163796255
51,5817,"(466.4476534296029, 1869.4356197352588)",0.5506888194507646,284.5929291125633,3,11,0.9025280672514412
52,6370,"(469.07111459968604, 2042.8632653061225)",0.5549912272601347,296.24978336205567,3,12,0.9120805897772686
53,5724,"(467.47361984626133, 3267.1705101327743)",0.5563358956440717,281.7645019878171,3,19,0.9060182245145648
54,5471,"(467.49003838420765, 993.5909340157192)",0.5452930066195734,277.4213562373095,3,6,0.8932988969172345
55,5613,"(467.7537858542669, 1694.4231248886513)",0.5487492271093365,278.936074863071,3,10,0.906557876678493
56,5615,"(468.7951914514693, 3087.1296527159393)",0.5559869397447313,281.1787155501902,3,18,0.8924722868118701
57,5689,"(468.7602390578309, 3435.718931270874)",0.5534512768018087,279.1787155501902,3,20,0.9172362036617855
58,3857,"(465.303863106041, 2219.600985221675)",0.5286298911579151,230.55129855222071,3,13,0.911852005344807
59,3615,"(465.86141078838176, 2392.151867219917)",0.5289659100154585,224.06601717798213,3,14,0.904828302392767
60,2325,"(464.63139784946236, 1341.4576344086022)",0.5044756483238457,180.8528137423857,3,8,0.893269038622247
61,1957,"(464.0030659172202, 124.44506898313746)",0.48206037652669653,164.36753236814712,3,1,0.9102666244223774
62,2392,"(467.72491638795987, 1164.875)",0.5062872975277067,183.2670273047588,3,7,0.8949574106125707
63,1473,"(465.7114731839783, 294.30074677528853)",0.48713177056294343,141.88225099390854,3,2,0.9195100298283885
64,9998,"(642.3289657931587, 3794.8018603720743)",0.5723654534828535,375.84776310850236,4,22,0.8894039558326869
65,5904,"(635.3921070460705, 2040.388211382114)",0.554533981614326,286.0071426749364,4,12,0.9069899072547709
66,5949,"(636.908556059842, 2736.380063876282)",0.5589543802056037,287.66399692442883,4,16,0.9034056702386387
67,5955,"(638.7193954659949, 469.15163727959697)",0.5388169440740191,288.35028842544403,4,3,0.9000172835602087
68,5265,"(636.6552706552707, 819.6660968660968)",0.5408278867102396,270.1076477383248,4,5,0.9068479548023549
69,5494,"(637.8733163451037, 991.1452493629414)",0.5458232510332126,279.5218613006979,4,6,0.8836228948126156
70,5475,"(636.7872146118722, 1515.5671232876712)",0.5494264482048526,276.1076477383248,4,9,0.9024790216334007
71,6120,"(640.6495098039215, 2566.38545751634)",0.5593540945790081,290.0071426749364,4,15,0.914416170205703
72,5948,"(640.2306657700067, 3089.0173167451244)",0.5582604797130687,286.0071426749364,4,18,0.9137493171326859
73,5559,"(638.9212088505127, 1691.1538046411224)",0.5497412780546649,278.1076477383248,4,10,0.9031932318327587
74,5443,"(640.5678853573397, 641.6277787984567)",0.5392189284311925,278.1076477383248,4,4,0.8843462422856098
75,5827,"(641.7619701390081, 2918.6565985927577)",0.5574792127250763,284.5929291125633,4,17,0.9040796025226315
76,6045,"(641.9382961124896, 3437.7887510339124)",0.5543664347459413,288.0071426749364,4,20,0.9157979185824101
77,6858,"(645.0667833187518, 3613.215660542432)",0.5535490253260825,309.0782104868019,4,21,0.9021329938519624
78,6028,"(643.6791639017916, 1869.741705374917)",0.5527232392625264,290.5929291125633,4,11,0.8970425062629049
79,5831,"(643.759560967244, 3259.9684445206653)",0.5565298388262868,286.2497833620557,4,19,0.8942574606924192
80,3447,"(636.9651871192341, 2386.9120974760663)",0.5270397105752658,218.65180361560903,4,14,0.9060350928082614
81,1731,"(632.3131138070479, 298.16060080878106)",0.4904724685946013,156.0243866176395,4,2,0.8935563883481675
82,2594,"(637.1865844255975, 1170.9653045489592)",0.5065475380591713,188.50966799187808,4,7,0.9173025033182287
